,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
172,Sierra County,CA,2018-03,238401,,,,CA,8.2
173,Alpine County,CA,2018-03,403044,,,,CA,3.6
174,Los Angeles County,CA,2018-04,623156,Los Angeles County,CA,18253,CA,4.3
175,San Diego County,CA,2018-04,585375,San Diego County,CA,5921,CA,3.1
176,Orange County,CA,2018-04,733901,Orange County,CA,7062,CA,2.7
177,Riverside County,CA,2018-04,377926,Riverside County,CA,10695,CA,4
178,San Bernardino County,CA,2018-04,337314,San Bernardino County,CA,8669,CA,3.8
179,Santa Clara County,CA,2018-04,1324419,Santa Clara County,CA,2319,CA,2.5
180,Alameda County,CA,2018-04,888020,Alameda County,CA,1049,CA,2.8
181,Sacramento County,CA,2018-04,366979,Sacramento County,CA,4494,CA,3.7
182,Contra Costa County,CA,2018-04,690882,Contra Costa County,CA,2927,CA,3
183,Fresno County,CA,2018-04,251405,Fresno County,CA,2029,CA,7.9
184,Kern County,CA,2018-04,215840,Kern County,CA,3099,CA,8.6
185,Ventura County,CA,2018-04,603366,Ventura County,CA,2650,CA,3.4
186,San Francisco County,CA,2018-04,1384385,San Francisco County,CA,1073,CA,2.2
187,San Mateo County,CA,2018-04,1417976,San Mateo County,CA,1052,CA,2.1
188,San Joaquin County,CA,2018-04,356676,San Joaquin County,CA,2123,CA,6.2
189,Stanislaus County,CA,2018-04,308320,Stanislaus County,CA,1627,CA,6.6
190,Sonoma County,CA,2018-04,669248,Sonoma County,CA,917,CA,2.7
191,Tulare County,CA,2018-04,215399,Tulare County,CA,1608,CA,9.9
192,Santa Barbara County,CA,2018-04,625348,Santa Barbara County,CA,1578,CA,3.8
193,Monterey County,CA,2018-04,566684,Monterey County,CA,1120,CA,7
194,Solano County,CA,2018-04,431969,Solano County,CA,750,CA,3.8
195,Placer County,CA,2018-04,499215,Placer County,CA,1985,CA,3
196,San Luis Obispo County,CA,2018-04,616203,San Luis Obispo County,CA,1055,CA,2.8
197,Santa Cruz County,CA,2018-04,870555,Santa Cruz County,CA,625,CA,5.7
198,Merced County,CA,2018-04,261069,Merced County,CA,988,CA,9.2
199,Marin County,CA,2018-04,1176792,Marin County,CA,473,CA,2.3
200,Butte County,CA,2018-04,294770,Butte County,CA,682,CA,4.9
201,Yolo County,CA,2018-04,456497,Yolo County,CA,499,CA,4.2
202,El Dorado County,CA,2018-04,465569,El Dorado County,CA,1255,CA,3.5
203,Shasta County,CA,2018-04,261477,Shasta County,CA,727,CA,5.1
204,Imperial County,CA,2018-04,206267,Imperial County,CA,309,CA,16.3
205,Kings County,CA,2018-04,216556,Kings County,CA,476,CA,8.4
